columns
hasResults
identificationModule.nctId
identificationModule.organization.fullName
identificationModule.organization.class
identificationModule.briefTitle
identificationModule.officialTitle
statusModule.statusVerifiedDate
statusModule.studyFirstSubmitDate
statusModule.studyFirstPostDateStruct.type
statusModule.lastUpdatePostDateStruct.date
sponsorCollaboratorsModule.responsibleParty.type
sponsorCollaboratorsModule.leadSponsor.name
sponsorCollaboratorsModule.leadSponsor.class
descriptionModule.briefSummary
descriptionModule.detailedDescription
designModule.studyType
designModule.enrollmentInfo.count
designModule.enrollmentInfo.type
eligibilityModule.eligibilityCriteria
eligibilityModule.sex
eligibilityModule.minimumAge
armsInterventionsModule.armGroups_0_label
armsInterventionsModule.armGroups_0_description
armsInterventionsModule.armGroups_0_type
armsInterventionsModule.armGroups_1_label
armsInterventionsModule.armGroups_1_description
armsInterventionsModule.armGroups_1_type
armsInterventionsModule.interventions_0_type
armsInterventionsModule.interventions_0_name
armsInterventionsModule.interventions_0_description
outcomesModule.primaryOutcomes_0_measure
outcomesModule.primaryOutcomes_0_description
outcomesModule.primaryOutcomes_0_timeFrame
outcomesModule.secondaryOutcomes_0_measure
outcomesModule.secondaryOutcomes_0_description
outcomesModule.secondaryOutcomes_0_timeFrame
contactsLocationsModule.overallOfficials_0_name
contactsLocationsModule.overallOfficials_0_affiliation
contactsLocationsModule.overallOfficials_0_role
contactsLocationsModule.locations_0_facility
contactsLocationsModule.locations_0_city
contactsLocationsModule.locations_0_country
conditionBrowseModule.meshes_0_term
conditionBrowseModule.ancestors_0_term
conditionBrowseModule.ancestors_1_term
conditionBrowseModule.ancestors_2_term
conditionBrowseModule.browseLeaves_0_name
conditionBrowseModule.browseLeaves_1_name
conditionBrowseModule.browseLeaves_2_name
conditionBrowseModule.browseLeaves_3_name
conditionBrowseModule.browseLeaves_4_name
conditionBrowseModule.browseBranches_0_name
conditionBrowseModule.browseBranches_2_name
